ICD	hcluster_embed	kcluster_embed	dtcluster_embed	dtcolor_embed
R48	4	16	3	brown
R49	13	9	16	lightcyan
R51	6	12	16	lightcyan
R52	6	9	16	lightcyan
R53	4	9	3	brown
R54	4	16	3	brown
R56	5	16	1	turquoise
R57	6	9	16	lightcyan
R59	1	1	13	salmon
R61	1	7	4	yellow
R62	5	16	1	turquoise
R64	4	7	3	brown
R68	13	7	16	lightcyan
R69	13	9	16	lightcyan
R75	18	7	3	brown
R79	18	9	3	brown
R80	1	10	14	cyan
R81	18	9	3	brown
R82	18	10	3	brown
R83	18	7	3	brown
R85	18	7	3	brown
R86	18	3	3	brown
R87	18	9	3	brown
R88	18	7	3	brown
R89	18	7	3	brown
R90	18	5	3	brown
R91	18	11	3	brown
R92	18	11	3	brown
R93	18	7	3	brown
R94	18	7	3	brown
R95	19	9	7	black
S00	4	12	3	brown
S01	4	12	3	brown
S02	7	12	9	magenta
S03	14	12	11	greenyellow
S04	14	12	11	greenyellow
S05	7	13	17	grey60
S06	5	12	1	turquoise
S07	14	12	19	lightyellow
S08	4	12	3	brown
S09	4	12	3	brown
S10	4	12	3	brown
S11	4	12	3	brown
S12	7	12	9	magenta
S13	14	12	11	greenyellow
S14	4	12	3	brown
S15	4	12	3	brown
S16	4	12	3	brown
S17	14	12	19	lightyellow
S18	4	12	3	brown
S19	4	12	3	brown
S20	14	12	11	greenyellow
S21	14	12	11	greenyellow
S22	7	12	9	magenta
S23	14	12	11	greenyellow
S24	14	12	11	greenyellow
S25	14	12	11	greenyellow
S26	8	11	21	darkred
S27	14	12	11	greenyellow
S28	14	12	11	greenyellow
S29	14	12	11	greenyellow
S30	14	1	11	greenyellow
S31	14	12	11	greenyellow
S32	7	12	9	magenta
S33	14	12	11	greenyellow
S34	14	12	11	greenyellow
S35	14	12	11	greenyellow
S36	4	3	3	brown
S37	14	12	11	greenyellow
S38	14	12	11	greenyellow
S39	14	12	11	greenyellow
S40	14	17	19	lightyellow
S41	14	17	19	lightyellow
S42	7	17	9	magenta
S43	14	17	11	greenyellow
S44	14	17	11	greenyellow
S45	14	17	11	greenyellow
S46	14	17	19	lightyellow
S47	14	17	19	lightyellow
S49	14	17	19	lightyellow
S50	14	17	11	greenyellow
S51	14	17	11	greenyellow
S52	7	17	9	magenta
S53	14	17	11	greenyellow
S54	14	17	11	greenyellow
S55	14	17	11	greenyellow
S56	14	17	11	greenyellow
S57	14	17	19	lightyellow
